id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,int_rate,installment,grade,sub_grade,is_inc_v,accept_d,issue_d,loan_status,term
54734,80364,25000,25000,19419.94,11.89%,829.1,B,B4,True,26-07-2009,05-08-2009,Fully Paid,36months
55742,114426,7000,7000,6549.4,10.71%,228.22,B,B5,False,12-05-2008,27-05-2008,Fully Paid,36months
57245,138150,1200,1200,1200.0,13.11%,40.5,C,C2,False,11-03-2010,22-03-2010,Fully Paid,36months
57416,139635,10800,10800,10637.65,13.57%,366.86,C,C3,False,04-11-2009,12-11-2009,Fully Paid,36months
58524,149512,7200,7200,1800.0,19.05%,264.11,D,D4,False,14-08-2012,21-08-2012,Current,36months
58915,153417,7500,5025,4912.74,10.08%,162.34,B,B3,False,08-04-2008,23-04-2008,Fully Paid,36months
59006,154254,3000,3000,3000.0,14.26%,102.92,C,C5,False,14-09-2009,18-09-2009,Fully Paid,36months
61390,182594,4000,4000,3900.0,7.88%,125.13,A,A5,False,06-02-2010,16-02-2010,Fully Paid,36months
61419,182917,5600,5600,5525.0,14.96%,194.02,D,D2,False,16-02-2010,22-02-2010,Charged Off,36months
62102,191024,3200,3200,3200.0,9.88%,103.08,B,B1,False,21-04-2010,30-04-2010,Fully Paid,36months
65426,232106,4000,4000,4000.0,11.14%,131.22,B,B1,False,24-08-2009,28-08-2009,Charged Off,36months
65640,234569,5000,2650,2650.0,11.34%,87.19,C,C2,False,17-04-2008,02-05-2008,Fully Paid,36months
66431,243540,2525,2525,2375.0,12.21%,84.12,B,B5,False,25-02-2009,25-02-2009,Fully Paid,36months
66749,246329,10625,10625,5329.662025,13.47%,360.43,C,C4,False,16-12-2008,29-12-2008,Fully Paid,36months
66964,247990,7500,7500,7500.0,13.24%,253.58,D,D3,False,05-06-2008,19-06-2008,Fully Paid,36months
67503,252415,10000,10000,10000.0,8.59%,316.11,A,A4,False,18-10-2009,26-10-2009,Fully Paid,36months
68163,258249,3000,3000,3000.0,7.14%,92.82,A,A3,False,02-02-2010,04-02-2010,Fully Paid,36months
68381,260179,6625,6625,6475.0,8.63%,209.54,A,A5,False,16-03-2008,25-03-2008,Fully Paid,36months
68817,264119,10000,10000,9775.0,11.03%,327.53,C,C1,False,13-03-2008,25-03-2008,Fully Paid,36months
68926,264924,2300,2300,2300.0,13.17%,77.69,D,D2,True,14-08-2008,28-08-2008,Fully Paid,36months
69001,265533,15000,15000,14900.0,8.94%,476.58,A,A5,False,15-09-2009,25-09-2009,Fully Paid,36months
69124,266619,18000,18000,17800.0,10.39%,584.12,B,B4,False,12-03-2008,24-03-2008,Fully Paid,36months
69168,266943,5000,5000,4975.0,15.13%,173.65,E,E4,True,31-03-2008,10-04-2008,Fully Paid,36months
69251,267771,6000,6000,6000.0,8.00%,188.02,A,A3,False,22-04-2008,06-05-2008,Fully Paid,36months
69828,272798,15000,15000,14775.0,8.63%,474.42,A,A5,False,12-03-2008,24-03-2008,Fully Paid,36months
69924,274280,10000,10000,10000.0,13.55%,339.6,D,D4,False,22-03-2008,27-03-2008,Fully Paid,36months
69990,275254,15500,15500,15308.28,7.88%,484.85,A,A5,False,13-02-2010,25-02-2010,Fully Paid,36months
70348,280311,9600,9600,9325.0,12.29%,320.19,C,C5,False,16-03-2008,31-03-2008,Fully Paid,36months
76597,76583,5000,5000,1775.0,9.01%,159.03,B,B2,False,03-07-2007,23-07-2007,Fully Paid,36months
84918,84914,5000,5000,3450.0,7.43%,155.38,A,A2,False,25-08-2007,10-09-2007,Fully Paid,36months
87023,86999,7500,7500,800.0,13.75%,255.43,E,E2,False,07-06-2007,27-06-2007,Fully Paid,36months
88854,70699,5000,5000,2575.0,7.43%,155.38,A,A2,False,27-07-2007,13-08-2007,Fully Paid,36months
90376,89243,5000,5000,650.0,7.43%,155.38,A,A2,False,12-06-2007,02-07-2007,Fully Paid,36months
90395,90390,5000,5000,1325.0,8.07%,156.84,A,A4,False,12-06-2007,02-07-2007,Fully Paid,36months
90665,90607,8500,8500,875.0,10.28%,275.38,C,C1,False,13-06-2007,03-07-2007,Fully Paid,36months
90966,90962,5000,5000,4150.0,7.43%,155.38,A,A2,False,02-07-2007,22-07-2007,Fully Paid,36months
92187,92174,2500,2500,1075.0,8.07%,78.42,A,A4,False,15-06-2007,05-07-2007,Fully Paid,36months
92402,92390,5000,5000,700.0,8.70%,158.3,B,B1,False,15-06-2007,05-07-2007,Fully Paid,36months
92440,92423,5000,5000,3100.0,7.43%,155.38,A,A2,False,30-06-2007,20-07-2007,Fully Paid,36months
92507,92502,5000,5000,250.0,7.43%,155.38,A,A2,False,15-06-2007,05-07-2007,Fully Paid,36months
92533,92529,5000,5000,675.0,11.22%,164.23,C,C4,False,15-06-2007,05-07-2007,Fully Paid,36months
92552,92542,5000,5000,375.0,9.96%,161.25,B,B5,False,15-06-2007,05-07-2007,Fully Paid,36months
92666,92661,5000,5000,525.0,9.33%,159.77,B,B3,False,15-06-2007,05-07-2007,Fully Paid,36months
92676,92671,5000,5000,150.0,8.07%,156.84,A,A4,False,15-06-2007,05-07-2007,Fully Paid,36months
93061,93057,5000,5000,250.0,7.43%,155.38,A,A2,False,16-06-2007,06-07-2007,Fully Paid,36months
93277,93254,3000,3000,950.0,8.70%,94.98,B,B1,False,17-06-2007,07-07-2007,Fully Paid,36months
94838,73673,3000,3000,2550.0,10.28%,97.2,C,C1,False,19-06-2007,09-07-2007,Fully Paid,36months
96350,96338,5000,5000,850.0,11.22%,164.23,C,C4,False,21-06-2007,11-07-2007,Fully Paid,36months
96844,95222,5300,5300,600.0,8.38%,167.02,A,A5,False,21-06-2007,11-07-2007,Fully Paid,36months
98276,98268,5400,5400,200.0,7.75%,168.6,A,A3,False,23-06-2007,13-07-2007,Fully Paid,36months
98339,97572,5100,5100,575.0,8.38%,160.72,A,A5,False,23-06-2007,13-07-2007,Fully Paid,36months
98982,98957,5000,5000,675.0,9.01%,159.03,B,B2,False,24-06-2007,14-07-2007,Fully Paid,36months
99009,98991,5750,5750,3675.0,7.43%,178.69,A,A2,False,14-07-2007,28-07-2007,Fully Paid,36months
100214,100208,5000,5000,3675.0,7.43%,155.38,A,A2,False,13-07-2007,02-08-2007,Fully Paid,36months
101579,100083,10000,10000,400.0,10.28%,323.98,C,C1,False,27-06-2007,17-07-2007,Fully Paid,36months
102376,95212,25000,25000,525.0,10.59%,813.65,C,C2,False,29-06-2007,19-07-2007,Fully Paid,36months
106079,106039,3500,3500,1200.0,9.96%,112.87,B,B5,False,03-07-2007,23-07-2007,Fully Paid,36months
106360,106333,2700,2700,550.0,15.96%,94.88,F,F4,False,03-07-2007,23-07-2007,Fully Paid,36months
107136,107130,12250,12250,1525.0,10.59%,398.69,C,C2,False,05-07-2007,25-07-2007,Fully Paid,36months
109355,109346,1200,1200,0.0,11.54%,39.6,C,C5,False,08-07-2007,28-07-2007,Fully Paid,36months
111227,111223,20000,20000,2800.0,13.43%,678.08,E,E1,False,12-07-2007,01-08-2007,Charged Off,36months
111307,105982,12000,12000,2500.0,12.49%,401.37,D,D3,False,12-07-2007,01-08-2007,Fully Paid,36months
111917,111912,6400,6400,4075.0,9.64%,205.45,B,B4,False,13-07-2007,02-08-2007,Fully Paid,36months
112216,106279,12000,12000,1025.0,11.86%,397.75,D,D1,False,14-07-2007,03-08-2007,Fully Paid,36months
112245,112227,5000,5000,3975.0,7.43%,155.38,A,A2,False,14-07-2007,28-07-2007,Fully Paid,36months
112323,107671,3500,3500,1125.0,10.28%,113.39,C,C1,False,14-07-2007,28-07-2007,Fully Paid,36months
112496,112493,3000,3000,525.0,11.86%,99.44,D,D1,False,15-07-2007,04-08-2007,Fully Paid,36months
113156,113146,3500,3500,3500.0,8.07%,109.79,A,A4,False,17-07-2007,06-08-2007,Fully Paid,36months
113179,113093,1000,1000,950.0,10.59%,32.55,C,C2,False,17-07-2007,06-08-2007,Charged Off,36months
113194,113115,3500,3500,1725.0,9.96%,112.87,B,B5,False,17-07-2007,06-08-2007,Fully Paid,36months
116040,116037,5000,5000,1125.0,9.64%,160.51,B,B4,False,27-07-2007,13-08-2007,Fully Paid,36months
116582,116502,10000,10000,1325.0,13.75%,340.57,E,E2,False,29-07-2007,13-08-2007,Fully Paid,36months
117056,117046,5000,5000,1475.0,7.75%,156.11,A,A3,False,30-07-2007,08-08-2007,Fully Paid,36months
117249,116607,5000,5000,1300.0,7.43%,155.38,A,A2,False,30-07-2007,08-08-2007,Fully Paid,36months
117794,94256,7500,7500,1250.0,8.07%,235.25,A,A4,False,31-07-2007,14-08-2007,Fully Paid,36months
117863,117849,8000,8000,2275.0,9.96%,257.99,B,B5,False,31-07-2007,08-08-2007,Fully Paid,36months
118523,118519,6500,6500,425.0,15.01%,225.37,F,F1,False,01-08-2007,14-08-2007,Charged Off,36months
118533,117783,2500,2500,825.0,9.64%,80.26,B,B4,False,01-08-2007,08-08-2007,Charged Off,36months
118823,118026,2500,2500,675.0,12.80%,84.0,D,D4,False,03-08-2007,08-08-2007,Charged Off,36months
119043,119040,15450,15450,7025.0,11.22%,507.46,C,C4,False,04-08-2007,20-08-2007,Charged Off,36months
120215,118760,4000,4000,3975.0,7.43%,124.31,A,A2,False,09-08-2007,20-08-2007,Fully Paid,36months
120374,119635,2000,2000,475.0,8.70%,63.32,B,B1,False,10-08-2007,14-08-2007,Fully Paid,36months
120525,120227,4000,4000,3050.0,10.91%,130.79,C,C3,False,11-08-2007,24-08-2007,Fully Paid,36months
121426,121423,3000,3000,2975.0,7.75%,93.67,A,A3,False,13-08-2007,20-08-2007,Fully Paid,36months
121530,121527,3000,3000,2225.0,7.75%,93.67,A,A3,False,13-08-2007,21-08-2007,Fully Paid,36months
121535,121373,2800,2800,2375.0,8.70%,88.65,B,B1,False,13-08-2007,20-08-2007,Fully Paid,36months
121568,121574,4000,4000,3350.0,9.64%,128.41,B,B4,False,13-08-2007,23-08-2007,Fully Paid,36months
121824,121808,3000,3000,2175.0,8.70%,94.98,B,B1,False,14-08-2007,21-08-2007,Fully Paid,36months
122070,120407,5400,5400,2950.0,12.17%,179.8,D,D2,False,14-08-2007,28-08-2007,Fully Paid,36months
122404,122398,12750,12750,4350.0,15.33%,444.05,F,F2,False,15-08-2007,30-08-2007,Fully Paid,36months
122637,104675,4000,4000,2875.0,7.75%,124.89,A,A3,False,16-08-2007,31-08-2007,Fully Paid,36months
122718,122713,18500,18500,3100.0,15.33%,644.3,F,F2,False,17-08-2007,31-08-2007,Fully Paid,36months
123228,120995,20000,20000,4750.0,9.64%,642.02,B,B4,False,19-08-2007,04-09-2007,Charged Off,36months
123230,80353,3175,3175,2550.0,11.54%,104.76,C,C5,False,19-08-2007,24-08-2007,Charged Off,36months
124436,124430,4800,4800,4075.0,11.22%,157.66,C,C4,False,23-08-2007,06-09-2007,Fully Paid,36months
125671,125668,12125,12125,7300.0,8.70%,383.87,B,B1,False,27-08-2007,10-09-2007,Fully Paid,36months
